vRuleId,carrier,origin,destination,date,flightNumber,targetPassengers,cabin,price,currency,seat,expired,pnr,passengers,email,occuptype
ORD20250312182831OBKGB,F3,RUH,JED,2025-03-18T08:35:00,F3111,1,,699.33,SAR,,2025-03-18T08:35:00,FC3L6K,fMila/fAinsleigh,fAinsleigh8375@huadbsuy.com,已失效
ORD20250313155441JUH6L,F3,RUH,JED,2025-03-15T16:25:00,F3131,1,,496.33,SAR,,2025-03-15T16:25:00,BDM7RH,mKasper/mFraser,mFraser7070@huadbsuy.com,已失效
ORD20250313160708VSVFK,F3,RUH,JED,2025-03-15T16:25:00,F3131,1,,496.33,SAR,,2025-03-15T16:25:00,O1WYMB,fStacie/fLivia,fLivia3952@huadbsuy.com,已失效
ORD202503131640106T9DF,F3,RUH,JED,2025-03-15T00:10:00,F3161,1,,699.33,SAR,,2025-03-15T00:10:00,B45YGF,fclaudia/fpeace,fpeace6276@huadbsuy.com,已失效
ORD20250313174957MCJY4,F3,RUH,JED,2025-03-15T00:10:00,F3161,1,,536.93,SAR,,2025-03-15T00:10:00,BCQB7H,fmeg/flola,flola1900@huadbsuy.com,已失效
ORD20250313183112V5PZ8,F3,RUH,JED,2025-03-18T08:35:00,F3111,1,,760.23,SAR,,2025-03-18T08:35:00,M3VY5V,falanis/ffrances,ffrances3011@huadbsuy.com,已失效
ORD202503141131585SIMY,F3,RUH,JED,2025-03-15T00:10:00,F3161,1,,699.33,SAR,,2025-03-15T00:10:00,YEDTWK,fjayne/mtomas,mtomas9493@huadbsuy.com,已失效
ORD20250314114939ZY7AZ,F3,RUH,JED,2025-03-15T16:25:00,F3131,1,,760.23,SAR,,2025-03-15T16:25:00,RB9UUD,mbruno/mennio,mennio8075@huadbsuy.com,已失效
ORD20250314152506HLZY6,F3,RUH,JED,2025-03-15T16:25:00,F3131,1,,699.33,SAR,,2025-03-15T16:25:00,TYG1FT,msaul/fdelaney,fdelaney9217@huadbsuy.com,已失效
ORD20250317112719OC9EP,F3,JED,RUH,2025-03-18T00:00:00,F3120,1,,455.73,SAR,,2025-03-18T00:00:00,CDRZ3E,maran/fjeannette,fjeannette5979@huadbsuy.com,已失效
ORD20250317152812CWCBL,F3,RUH,MED,2025-03-20T06:55:00,F3223,1,,526.78,SAR,,,ERROR,{'oid': 'test00001', 'payOrderUuid': 'test00001', 'passengerName': 'fcatlin/fsaffron', 'passengerType': None, 'ageType': None, 'birthday': 'Mar 25, 1995 03:28:14 PM', 'cardNo': 'C123456789', 'cardTimeLimit': 'Mar 16, 2028 03:28:14 PM', 'cardType': 'P', 'gender': 'M', 'nationality': 'US', 'certIssueCountry': 'US', 'enNationality': 'US', 'enCertIssueCountry': 'US', 'enCardType': 'P', 'otaPassengerId': 'test00001', 'ktn': 'C123456789', 'add_info': {}},fsaffron1368@huadbsuy.com,已失效
ORD20250317153607SDMD8,F3,RUH,MED,2025-03-20T06:55:00,F3223,1,,526.78,SAR,,2025-03-20T06:55:00,LBE35N,meverett/flilita,flilita8240@huadbsuy.com,已失效
ORD20250317161003QPX6E,F3,RUH,MED,2025-03-20T06:55:00,F3223,1,,526.78,SAR,,2025-03-20T06:55:00,ED4R9H,mstevie/fryleigh,fryleigh4994@huadbsuy.com,已失效
ORD20250317163041DEWMK,F3,RUH,MED,2025-03-20T06:55:00,F3223,1,,567.37,SAR,,2025-03-20T06:55:00,X6SNKC,feva/malbie,malbie2174@huadbsuy.com,已失效
ORD20250317165301G21LP,F3,RUH,MED,2025-03-20T06:55:00,F3223,1,,445.58,SAR,,2025-03-20T06:55:00,S2D6YB,fjaylinn/mlacey,mlacey3519@huadbsuy.com,已失效
ORD20250317165650ICV05,F3,RUH,MED,2025-03-20T06:55:00,F3223,1,,445.58,SAR,,2025-03-20T06:55:00,A28CKL,mjoe/marman,marman7178@huadbsuy.com,已失效
ORD20250320100907EHYMX,F3,IST,JED,2025-03-26T21:35:00,F3808,1,,123.83,USD,,,MDG84H,{'oid': 'test00001', 'payOrderUuid': 'test00001', 'passengerName': 'mdale/mgodwin', 'passengerType': None, 'ageType': None, 'birthday': 'Mar 28, 1995 10:09:09 AM', 'cardNo': 'C123456789', 'cardTimeLimit': 'Mar 19, 2028 10:09:09 AM', 'cardType': 'P', 'gender': 'M', 'nationality': 'US', 'certIssueCountry': 'US', 'enNationality': 'US', 'enCertIssueCountry': 'US', 'enCardType': 'P', 'otaPassengerId': 'test00001', 'ktn': 'C123456789', 'add_info': {}},mgodwin9545@huadbsuy.com,占位中
ORD20250320101857BNVY3,F3,IST,JED,2025-03-26T21:35:00,F3808,1,,98.96,USD,,2025-03-26T21:35:00,Z4ELGY,femily/fviviana,fviviana7910@huadbsuy.com,占位中
ORD20250320102803CQHJ5,F3,RUH,MED,2025-03-26T03:40:00,F3227,1,,445.58,SAR,,2025-03-26T03:40:00,SFIC8R,fchristina/fbryn,fbryn9330@huadbsuy.com,占位中
ORD20250320103524WQ4UD,F3,RUH,MED,2025-03-24T06:55:00,F3227,1,,374.52,SAR,,2025-03-24T06:55:00,X44ZSL,feris/mdayton,mdayton1438@huadbsuy.com,已失效
ORD20250320103633CWVWG,F3,RUH,MED,2025-03-24T06:55:00,F3223,1,,374.52,SAR,,2025-03-24T06:55:00,U7J27M,marthur/fnicky,fnicky4436@huadbsuy.com,已失效
